,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
0,(0.2165924408015512+0j),(0.07720827384897187+0j),(0.11558491399219825+0j),(0.0239243591273526+0j),(0.12424149489691211+0j),(0.35196365755008796+0j),(0.07697212711303045+0j),(0.05603611768869891+0j),(0.13718829117436432+0j),(0.06302722265015151+0j),(0.04691228541237347+0j),(0.005961117550737835+0j),(0.013359872342583868+0j),(0.0005723749596545397+0j),(0.015435949054219439+0j),(0.1238784162360356+0j),(0.005924708352304517+0j),(0.0031400464856217144+0j),(0.01882062723534217+0j),(0.003972430794991771+0j),7.2461458020723235,-0.30105778650867654,0.2165924408015512,0.5818425820554002,(-0.07056490168378632+0.03133228687943805j),(0.1143493765550804+0.01685504150241985j),(0.021372826742668133+0.010750685405239498j),(0.06485906450714032-0.10596815939459385j),(0.2943605600282299-0.1929514885558089j),(0.005573287297782198+0.07677009066687948j),(0.048521489699853565-0.028030546247419418j),(-0.0038629914571962076+0.13713389271928292j),(-0.062437618697688095-0.008600846839345602j),0.4338673992147278
1,(0.15810985500856412+0j),(0.019411509900849343+0j),(0.12134638943139399+0j),(0.03551866472748236+0j),(0.16242438050364963+0j),(0.4218061369162157+0j),(0.08804477468369513+0j),(0.047333130550085784+0j),(0.23192476649814836+0j),(0.03702703608036285+0j),(0.024998726250829165+0j),(0.0003768067166307721+0j),(0.014724946228035527+0j),(0.0012615755440232993+0j),(0.026381679381994354+0j),(0.1779204171401813+0j),(0.007751882349102644+0j),(0.002240425247671464+0j),(0.05378909731522065+0j),(0.001371001400896492+0j),7.2162224598806315,-0.6378404257341461,-0.15810985500856412,0.6037112419720834,(-0.01592167953153935+0.011104361193951369j),(0.1198539803656267-0.018972865322652174j),(0.02847660058008628-0.021228724959957652j),(0.13184213592690877-0.09486480156636004j),(0.20813109260333515-0.36688126884855166j),(-0.00368877657957614+0.08796746714808046j),(0.04557002508208277+0.01279836167991087j),(-0.046439313569610036+0.22722783163689275j),(-0.03602331971840774+0.008562817139345431j),0.4337977827467078
2,(0.04460962715305386+0j),(0.03398131816406247+0j),(0.10876811351445827+0j),(0.06875566240769837+0j),(0.09266663733635126+0j),(0.8424620771724401+0j),(0.058926195057775854+0j),(0.07368705207681323+0j),(0.2825776827590791+0j),(0.08329592244856095+0j),(0.0019900188347344804+0j),(0.001154729984167242+0j),(0.011830502517494079+0j),(0.004727341113121387+0j),(0.008587105675226851+0j),(0.7097423514737025+0j),(0.0034722964639870477+0j),(0.005429781643770983+0j),(0.07985014679349073+0j),(0.00693821069655668+0j),7.183660487044081,-1.7137167224052225,-0.04460962715305386,0.6111165657939355,(-0.032348837413188634-0.010405897471257794j),(0.07198709553190728-0.08153747969108521j),(0.06696235005816943+0.015600794460813958j),(0.07028164701280168+0.06039532902795377j),(0.29106525651066595-0.7905841940780771j),(0.0357546458352101+0.046839105085235574j),(-0.07365585236186073-0.0021440747698619547j),(-0.10830885302266456+0.2609968182764027j),(0.07880296122620273-0.026987108006199342j),0.4445766051728203
3,(0.08262040264665162+0j),(0.13553890512175917+0j),(0.10111731599467289+0j),(0.05403413916538129+0j),(0.14938428584972033+0j),(0.8730390217437892+0j),(0.11477023052091823+0j),(0.05103337326979367+0j),(0.26451551529349887+0j),(0.05191413997518825+0j),(0.0068261309334948376+0j),(0.01837079480160524+0j),(0.010224711593966526+0j),(0.002919688195343792+0j),(0.02231566485883095+0j),(0.7621971334873525+0j),(0.01317220581382471+0j),(0.002604405187294092+0j),(0.06996845783098522+0j),(0.0026950779293634384+0j),7.190610738933919,-1.48307692191768,0.08262040264665162,0.6035175197767223,(-0.1318650485131344-0.03134332117427805j),(0.03750179514026213-0.09390594739005799j),(-0.0023714616845021616+0.05398207447683657j),(0.11672101088416806+0.09323020152830773j),(0.46515659906700535-0.7388006983157025j),(0.04529844300207836+0.10545262858465013j),(-0.04389094768789137-0.02603823915615023j),(-0.04835347754970963+0.2600584531212838j),(0.0011311184823133529-0.05190181596382161j),0.45002993036545713
4,(0.21805119634522374+0j),(0.12809434719495527+0j),(0.12728740020409557+0j),(0.019307045005552758+0j),(0.1411142860809742+0j),(0.8111275917205102+0j),(0.12577996967260877+0j),(0.07218073881995439+0j),(0.20848642982257562+0j),(0.06945679292506914+0j),(0.047546324227583314+0j),(0.016408161783301744+0j),(0.016202082250717592+0j),(0.00037276198684643973+0j),(0.019913241736143027+0j),(0.6579279700503148+0j),(0.01582060077084238+0j),(0.005210059056594471+0j),(0.04346659142016374+0j),(0.004824246083435933+0j),7.246997389059379,-1.4642294071783644,0.21805119634522374,0.5960129655530618,(-0.12209060796294328-0.03875622828063427j),(0.07207462019599782-0.10491582995106247j),(0.01930298062518163+0.0003961386503515689j),(0.10904319076569556+0.08957021984889371j),(0.35578746891034585-0.7289329509747j),(0.05641011107535812+0.11242108405147204j),(-0.06968819319477593-0.018804647985060957j),(-0.0209999020139958+0.2074261206684595j),(0.00837997734250849-0.0689494166993092j),0.4499577205282765
5,(0.023960358306771484+0j),(0.06341364609676475+0j),(0.12402071053813961+0j),(0.03171225325710013+0j),(0.1616496881975035+0j),(0.8804090153530821+0j),(0.13713482453892067+0j),(0.08931962817960665+0j),(0.2004691513358353+0j),(0.12127350886959315+0j),(0.0005740987701888733+0j),(0.004021290511285728+0j),(0.015381136642385012+0j),(0.0010056670066424577+0j),(0.0261306216943501+0j),(0.7751200343149837+0j),(0.018805960101320567+0j),(0.007977995978143183+0j),(0.040187880637310026+0j),(0.014707263953543288+0j),7.181614321358051,-1.7657545015648517,-0.023960358306771484,0.6108224417073194,(-0.06279138040319204+0.008861887967434347j),(0.0750901407855623-0.09870464730289778j),(0.031204744425220143-0.005650746145346655j),(0.12151855197321802+0.10660142222635874j),(0.6191243679214858-0.6259433291926708j),(0.057288348976697524+0.12459536577595767j),(-0.08003119611376713-0.039661109751782386j),(-0.008828748922450494+0.20027464599837483j),(0.051257479284819926-0.1099087565706643j),0.44436263504789414
6,(0.04248804046057773+0j),(0.07985175428803941+0j),(0.10866472628975032+0j),(0.10070650585732269+0j),(0.09594370120036395+0j),(0.9367818548347543+0j),(0.16034483562638133+0j),(0.07012540486435209+0j),(0.1599493110762722+0j),(0.10511481800351889+0j),(0.0018052335821796906+0j),(0.00637630266287742+0j),(0.011808022739626355+0j),(0.010141800321990968+0j),(0.00920519380002472+0j),(0.8775602435476426+0j),(0.025710466312051244+0j),(0.004917572407389295+0j),(0.025583782113774094+0j),(0.011049124963912901+0j),7.1833937439299085,-1.9081683645147147,-0.04248804046057773,0.5958217136231266,(-0.07951809153395002-0.00729217263068872j),(0.07849900901512027-0.07513939261978647j),(0.07239024589569158+0.07001037509649749j),(0.08796153320856023+0.03831399842908693j),(0.5501038926884843-0.7582519045782999j),(0.08801588556682952+0.13402861709328354j),(-0.03733639552533622-0.059359632550791186j),(0.008105529204256393+0.1597438027282844j),(-0.041836115826912136-0.09643061949624762j),0.44429133456016895
7,(0.04325424499831784+0j),(0.08236365980717905+0j),(0.18101661001938138+0j),(0.11713556264807805+0j),(0.13245102751268203+0j),(0.9187944711407637+0j),(0.2051372310234409+0j),(0.08188181987495032+0j),(0.15164959103264686+0j),(0.06219607544241833+0j),(0.0018709297103745041+0j),(0.0067837724568327205+0j),(0.032767013102908804+0j),(0.013720740036881816+0j),(0.01754327468916525+0j),(0.8441832801988358+0j),(0.042081283551964555+0j),(0.00670463242603381+0j),(0.02299759846036904+0j),(0.003868351800438992+0j),7.18348858831828,-1.3316496567350309,0.04325424499831784,0.5957261106731307,(-0.0731634243509664-0.03782705108877955j),(0.1774432706518338+0.03578964659351727j),(0.04560030484453327+0.10789509828980856j),(0.11175686639224125-0.0710892221321347j),(0.5353093301752839-0.7467444015365128j),(0.015044270917270126+0.20458483195127722j),(-0.07882517177361531-0.022163589982082094j),(-0.010919255682586674+0.1512559695208997j),(0.0473255444315778-0.04035646967579978j),0.44974116052814883
8,(0.13872020496730555+0j),(0.047871528174928894+0j),(0.11213532609436584+0j),(0.1229520123929078+0j),(0.15686407705413022+0j),(0.8994387017435673+0j),(0.11952721355583888+0j),(0.09096360838880446+0j),(0.08261775865121765+0j),(0.04609387954138035+0j),(0.019243295266171266+0j),(0.002291683209803011+0j),(0.012574331358289765+0j),(0.015117197351465753+0j),(0.024606338670044105+0j),(0.8089899781941539+0j),(0.014286754780423112+0j),(0.008274378051111779+0j),(0.006825694044550849+0j),(0.002124645731175282+0j),7.2081941185326865,-1.77029500493536,-0.13872020496730555,0.6030334862062687,(-0.04318239148565318-0.02066311388399142j),(0.11141843613842398+0.012659520005027916j),(0.0513930011162774+0.1116958226064344j),(0.1426869669564293-0.06516723203281662j),(0.396776418453068-0.807191707064505j),(0.004038740204038514+0.11945896097818445j),(-0.09020418145600614-0.01172960779240705j),(-0.010506782928767309+0.0819469435490953j),(0.045762677719761655-0.005515710207444907j),0.44414876790457747
9,(0.016087059744423853+0j),(0.03492247586945943+0j),(0.08856409799334952+0j),(0.05764967722804438+0j),(0.14952826671789415+0j),(0.9386250620712804+0j),(0.15478661613560424+0j),(0.12856717105738807+0j),(0.025605934560280173+0j),(0.06521279188432458+0j),(0.00025879349122066245+0j),(0.001219579320852976+0j),(0.007843599453375618+0j),(0.0033234852844976986+0j),(0.022358702547657695+0j),(0.8810170071483149+0j),(0.0239588965347109+0j),(0.016529517473699684+0j),(0.0006556638847053506+0j),(0.00425270822534823+0j),7.1811579649368005,-1.9290174312558777,0.016087059744423853,0.6104304964494278,(-0.034759550880802036-0.003369412918879258j),(0.06026005122600268+0.06490243200077445j),(0.03806023059292192+0.04330016318342587j),(0.12946468477877407-0.07481709659423011j),(0.6737818801759787-0.6534791389897905j),(0.05377311207109531+0.14514595741149777j),(-0.11062907813357807-0.06550362238086047j),(-0.02375618057116598+0.009555509896154502j),(0.007787748737833758-0.06474611335782711j),0.44407750173303995
