,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
0,(0.07687976186419523+0j),(0.040076075326335045+0j),(0.012617666018650827+0j),(0.1366929172000053+0j),(0.0032965308800317734+0j),(0.12366589989915548+0j),(0.09053060675282794+0j),(0.10820820206316348+0j),(0.04179626672285747+0j),(0.042581188233912125+0j),(0.005910497784295368+0j),(0.0016060918135620806+0j),(0.00015920549575821583+0j),(0.0186849536126475+0j),(1.0867115843003057e-05+0j),(0.015293254797867945+0j),(0.008195790759035175+0j),(0.011709014993742417+0j),(0.0017469279119682426+0j),(0.0018131575914118565+0j),17.266033126218076,4.16746173669687,-0.07687976186419523,0.35736334585994106,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.461889940448245
1,(0.1318811306617962+0j),(0.03562317806785337+0j),(0.011215703127689623+0j),(0.12150481528889356+0j),(0.002930249671139354+0j),(0.10992524435480486+0j),(0.08047165044695816+0j),(0.09618506850058975+0j),(0.03715223708698441+0j),(0.03784994509681078+0j),(0.01739263262463376+0j),(0.0012690108156539891+0j),(0.0001257919966484668+0j),(0.014763420138388146+0j),(8.586363135212291e-06+0j),(0.012083559346463558+0j),(0.00647568652565742+0j),(0.009251567402463141+0j),(0.0013802887205675+0j),(0.00143261834383159+0j),17.241652390360436,2.3366818620175276,0.1318811306617962,0.375403442501856,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.3719497887675014
2,(0.23986919462651912+0j),(0.03339672943861253+0j),(0.010514721682209021+0j),(0.11391076433333772+0j),(0.0027471090666931442+0j),(0.10305491658262955+0j),(0.07544217229402327+0j),(0.09017350171930288+0j),(0.03483022226904788+0j),(0.0354843235282601+0j),(0.05753723053077491+0j),(0.0011153415371958888+0j),(0.00011055937205431651+0j),(0.012975662231005205+0j),(7.546608224307677e-06+0j),(0.010620315831852736+0j),(0.005691521360441092+0j),(0.008131260412321121+0j),(0.0012131443833112792+0j),(0.0012591372162582336+0j),17.160011493312506,1.9290803180827227,0.23986919462651912,0.38951304958256217,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.285295417962438
3,(0.4049359285088454+0j),(0.03206086026106803+0j),(0.010094132814920661+0j),(0.10935433376000422+0j),(0.0026372247040254188+0j),(0.09893271991932438+0j),(0.07242448540226233+0j),(0.08656656165053078+0j),(0.03343701337828597+0j),(0.0340649505871297+0j),(0.16397310619732075+0j),(0.0010278987606797314+0j),(0.00010189151728525812+0j),(0.011958370312094398+0j),(6.954954139521957e-06+0j),(0.009787683070635484+0j),(0.0052453060857825095+0j),(0.007493769595995145+0j),(0.001118033863659675+0j),(0.001160420858503588+0j),16.971901218101802,1.9242158855478202,0.4049359285088454,0.39429094680305055,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.2018067886984394
4,(0.1913854892620045+0j),(0.0311702808093717+0j),(0.009813740236728421+0j),(0.10631671337778188+0j),(0.0025639684622469345+0j),(0.09618458881045426+0j),(0.07041269414108837+0j),(0.08416193493801602+0j),(0.03250820745111136+0j),(0.03311870195970943+0j),(0.03662840550005684+0j),(0.0009715864057350857+0j),(9.630949743398242e-05+0j),(0.011303243543453424+0j),(6.573934275396911e-06+0j),(0.009251475124636165+0j),(0.004957947496206461+0j),(0.0070832312925108425+0j),(0.001056783551684492+0j),(0.0010968484194960615+0j),17.201829405832093,1.5187960792284612,-0.1913854892620045,0.4193431321157452,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.121368247034317
5,(0.5205642053261741+0j),(0.030534152629588602+0j),(0.009613459823733964+0j),(0.10414698453333734+0j),(0.002511642575262303+0j),(0.09422163801840416+0j),(0.06897570038310698+0j),(0.08244434442907693+0j),(0.03184477464598664+0j),(0.03244281008298066+0j),(0.27098709186687114+0j),(0.0009323344768070124+0j),(9.241860978254706e-05+0j),(0.010846594387387208+0j),(6.308348425870254e-06+0j),(0.008877717070871186+0j),(0.004757647243340143+0j),(0.006797069928340269+0j),(0.0010140896722536734+0j),(0.0010525359260803516+0j),16.828658533149554,1.9090135611323211,0.5205642053261741,0.42448693509619456,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),2.0438683642108617
6,(0.05497247497853447+0j),(0.030057056494751277+0j),(0.00946324951398812+0j),(0.10251968790000394+0j),(0.00247239816002383+0j),(0.09274942492436661+0j),(0.06789795506462092+0j),(0.0811561515473726+0j),(0.03134720004214309+0j),(0.03193589117543409+0j),(0.003021973005265598+0j),(0.0009034266451286698+0j),(8.95530913639964e-05+0j),(0.010510286407114216+0j),(6.112752661689218e-06+0j),(0.008602455823800717+0j),(0.0046101323019572815+0j),(0.006586320933980108+0j),(0.0009826469504821361+0j),(0.001019901145169169+0j),17.272237760184545,1.3207507520530668,-0.05497247497853447,0.4404413542277424,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.969199782292399
7,(0.45901134718340314+0j),(0.029685981723211137+0j),(0.009346419273074686+0j),(0.10125401274074464+0j),(0.0024418747259494613+0j),(0.09160437029567071+0j),(0.06705970870579844+0j),(0.08015422375049144+0j),(0.03096019757248701+0j),(0.03154162091400897+0j),(0.21069141684312265+0j),(0.0008812575108708258+0j),(8.735555322810195e-05+0j),(0.01025237509610288+0j),(5.962752177230757e-06+0j),(0.00839136065726636+0j),(0.004497004531706538+0j),(0.006424699585043847+0j),(0.0009585338337274305+0j),(0.0009948738498830483+0j),16.903283693449687,1.6462494187375876,-0.45901134718340314,0.45699542312181446,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.8972590654475103
8,(0.2749150451771126+0j),(0.02938912190597903+0j),(0.00925295508034394+0j),(0.1002414726133372+0j),(0.002417455978689967+0j),(0.09068832659271402+0j),(0.06638911161874045+0j),(0.07935268151298655+0j),(0.03065059559676214+0j),(0.031226204704868886+0j),(0.07557828206473388+0j),(0.0008637204864044964+0j),(8.561717771886271e-05+0j),(0.010048352831690432+0j),(5.844093408903866e-06+0j),(0.00822437258018676+0j),(0.004407514141525578+0j),(0.006296848063301478+0j),(0.0009394590104362546+0j),(0.0009750758602703758+0j),17.12517732195911,1.3624066817090374,0.2749150451771126,0.46835065062940257,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.8279465566629194
9,(0.5371194660059877+0j),(0.02914623660097094+0j),(0.009176484377200601+0j),(0.09941303069091292+0j),(0.0023974770036594715+0j),(0.08993883629029488+0j),(0.06584044127478392+0j),(0.07869687422775525+0j),(0.03039728488935088+0j),(0.03096813689739063+0j),(0.28849732076255735+0j),(0.0008495031079997779+0j),(8.42078655250067e-05+0j),(0.009882950671152396+0j),(5.747895983075997e-06+0j),(0.008088994273252464+0j),(0.00433496370725827+0j),(0.006193198013219129+0j),(0.0009239949286443594+0j),(0.0009590255028955269+0j),16.810155823857425,1.7330694851204578,-0.5371194660059877,0.49199350907457046,(-0.0032110424514389087+0.0009296046063502662j),(0.0003064659373597478-0.00023392321748628913j),(-0.002440265234628376-0.0014983437335813125j),(0.0015783215937655386-0.016610202926526048j),(0.4869935688756421-0.6666479759680061j),(-0.010063857375844363-0.0335349908738051j),(-0.0019152861445151468+0.006031499167086788j),(0.0016937042580191287-0.00022210349896780015j),(0.0005230512492084637-0.0016129154614663822j),1.7611662396920387
