,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,complex_group_sampling_width
0,(0.705530146896373+0j),(0.015385516626812288+0j),(0.14496231472660723+0j),(0.1909047975800884+0j),(0.15728717467234213+0j),(0.4803442156574155+0j),(0.37086690650294096+0j),(0.02581958741015639+0j),(0.49777278817961756+0j),(0.00023671412187391738+0j),(0.021014072690895922+0j),(0.03644464173909453+0j),(0.024739255316407863+0j),(0.23073056551553767+0j),(0.13754226233906117+0j),(0.0006666510940307064+0j),16.72960794615371,-3.112265383490494,-0.705530146896373,0.9675570369096365,(-0.011289541776962245-0.010452768453387912j),(0.016339210570491577+0.14403854653817172j),(-0.11525731365908702+0.15218539150386728j),(0.15728625068132665-0.0005391317266977881j),(-0.32932643246088944-0.3496779466854049j),(0.27985117152270256-0.24336307060939233j),(-0.021249303112451833-0.014666908715399139j),0.27120055517045
1,(0.705530146896373+0j),(0.07001712371292797+0j),(0.05736722802463753+0j),(0.1900595831644109+0j),(0.16623359118425882+0j),(0.4816490456322776+0j),(0.28456294955282346+0j),(0.1093705582737938+0j),(0.49777278817961756+0j),(0.00490239761303146+0j),(0.003290998851230757+0j),(0.036122645152629626+0j),(0.02763360683801529+0j),(0.23198580315848388+0j),(0.08097607225820276+0j),(0.011961919017121327+0j),16.72960794615371,-3.492977193715512,-0.705530146896373,0.9313186885100204,(-0.06789420407132825+0.017110659442356214j),(0.007771120747638407+0.05683844239206755j),(-0.11581383313499147+0.15069771467149054j),(0.16075789658285278+0.04231436545987784j),(-0.3299467292314787-0.35088596299643154j),(0.19816705905149123-0.20422019725062834j),(0.1032726444873219+0.036009442063388686j),0.26774145520261705
2,(0.7070272752387066+0j),(0.021138459582973623+0j),(0.04806164853069407+0j),(0.24347542753287027+0j),(0.27189613035041427+0j),(0.5975076814215428+0j),(0.3281696495255433+0j),(0.07104975338169175+0j),(0.4998875679314697+0j),(0.00044683447354100937+0j),(0.0023099220594879678+0j),(0.059280283812313955+0j),(0.07392750569952948+0j),(0.3570154293577479+0j),(0.10769531886971792+0j),(0.00504806745559922+0j),16.730467500449457,-4.186351812128791,-0.7070272752387066,0.9078659157433367,(-0.021118299291061772-0.0009229889458434344j),(0.01271308686434152+0.046349751691542804j),(-0.13388274714388712+0.2033609938742431j),(0.25125480474416845+0.10391596986266964j),(-0.4259194627954567-0.4190561305717617j),(0.1771157585270972-0.2762703873944671j),(0.06442484112608807-0.029958426218303445j),0.26769626781522743
3,(0.7070272752387066+0j),(0.059967147807055865+0j),(0.027695309354952475+0j),(0.1886439039942134+0j),(0.34958796234147355+0j),(0.6333623946140253+0j),(0.35221159316290496+0j),(0.0929688513083057+0j),(0.4998875679314697+0j),(0.0035960588161132855+0j),(0.0007670301602665182+0j),(0.03558652251417801+0j),(0.12221174341406352+0j),(0.4011479229112124+0j),(0.12405300635835166+0j),(0.008643207313585855+0j),16.730467500449457,-4.757011290793451,-0.7070272752387066,0.8738632057223086,(0.030433345488518695+0.05167078767049854j),(0.02523464709745127-0.0114123944084321j),(-0.04685160810766277+0.1827332737404548j),(0.321938515870495+0.1362620101611838j),(-0.39808161452340773-0.492624553884243j),(0.1953186859672948-0.29309318871369383j),(0.0908201915970277-0.019872093796704814j),0.26428186421709804
4,(0.7070272752387066+0j),(0.05044096004487929+0j),(0.012409866055651983+0j),(0.2219598464194616+0j),(0.38967580567326326+0j),(0.6843389253046003+0j),(0.33206591783856754+0j),(0.09165322709994296+0j),(0.4998875679314697+0j),(0.0025442904502491087+0j),(0.00015400477551922331+0j),(0.04926617342255098+0j),(0.15184723352710683+0j),(0.46831976468705533+0j),(0.11026777378997027+0j),(0.008400314037833718+0j),16.730467500449457,-5.000689557940486,-0.7070272752387066,0.841134014476162,(-0.00294268975677257+0.050355049669764944j),(-0.010548078894680329+0.006537798341247819j),(-0.10221317414224368+0.19702446663883738j),(0.3582200556712354+0.15338065471891768j),(-0.3425126105256097-0.5924566450956452j),(0.1962830106044365-0.26784464440796446j),(0.08910270864788616-0.02147140771918855j),0.25762663160520305
5,(0.7070272752387066+0j),(0.08585599321487551+0j),(0.07456332535881743+0j),(0.16582256988458915+0j),(0.4633541157486396+0j),(0.6569718809297613+0j),(0.35186270057007196+0j),(0.10918218074638945+0j),(0.4998875679314697+0j),(0.00737125157091275+0j),(0.005559689488564867+0j),(0.027497124683129447+0j),(0.21469703658120376+0j),(0.43161205233238853+0j),(0.12380736005246412+0j),(0.011920748592537254+0j),16.730467500449457,-4.848908369143308,-0.7070272752387066,0.8096306443340651,(0.04562223487355285+0.07273144612927154j),(-0.0018625632296276826+0.07454005867170019j),(-0.07980813391408328+0.1453540038811494j),(0.38364218829708685+0.25983784932112236j),(-0.33447818592915796-0.5654523812576335j),(0.1726502452686997-0.3065929758835351j),(0.10844008302320987-0.012708146460306671j),0.25113899324442934
6,(0.7070272752387066+0j),(0.07367626750014675+0j),(0.08966708495344804+0j),(0.16897222412837867+0j),(0.45260040714874594+0j),(0.7478110316935959+0j),(0.25440634946942364+0j),(0.038551969162392834+0j),(0.4998875679314697+0j),(0.00542819239275318+0j),(0.008040186124048868+0j),(0.028551612526891038+0j),(0.20484712855121062+0j),(0.5592213391226404+0j),(0.0647225906503585+0j),(0.0014862543262980882+0j),16.730467500449457,-4.815529636210131,-0.7070272752387066,0.7793071840674806,(0.06543320787669125-0.03386277749563507j),(0.06818005105364666+0.058238018187185964j),(-0.11639427383125797+0.12249075698266043j),(0.41784146668737493+0.17394147655965772j),(-0.35050187983817177-0.6605829027098326j),(0.08093514631527327-0.2411889150464503j),(0.01063640477304941-0.03705565030871729j),0.24793577383026766
7,(0.7070272752387066+0j),(0.07378193701318175+0j),(0.10241603811851159+0j),(0.15274152085899034+0j),(0.46791941356271727+0j),(0.7436672585075047+0j),(0.24475990757246074+0j),(0.02035971427954923+0j),(0.4998875679314697+0j),(0.005443774229417118+0j),(0.010489044863892419+0j),(0.023329972194317386+0j),(0.21894857758887726+0j),(0.5530409913760678+0j),(0.05990741235487953+0j),(0.00041451796554488075+0j),16.730467500449457,-4.623429287460252,-0.7070272752387066,0.7501194419817405,(0.06558649604606176-0.03379623893005025j),(0.07662013975797285+0.06795880404598896j),(-0.10581157540863068+0.11015390462376287j),(0.43100620151016755+0.1821599073579422j),(-0.336627859867424-0.663115883791925j),(0.08340087626975737-0.23011237731229528j),(0.020238105902574827-0.0022219439734265795j),0.2416921738294172
8,(0.7070272752387066+0j),(0.05499930931125559+0j),(0.09636344024642043+0j),(0.19281433996857703+0j),(0.4018761934501582+0j),(0.7183553488549363+0j),(0.209834635039548+0j),(0.010181216357413462+0j),(0.4998875679314697+0j),(0.0030249240247151657+0j),(0.009285912616125441+0j),(0.037177369697518+0j),(0.161504474861989+0j),(0.5160344072284972+0j),(0.0440305740621803+0j),(0.00010365716651646342+0j),16.730467500449457,-4.694808364513842,-0.7070272752387066,0.7220248815135718,(0.04354581918727405-0.03359591725231506j),(0.06271838215595059+0.07315953222831308j),(-0.13206364065103085+0.14048688378462024j),(0.3671164402714+0.16349310121361257j),(-0.33614093162187386-0.6348572133297975j),(0.038705822547227965-0.20623392873899968j),(0.008964957729920762-0.004825629432229271j),0.23560580221222593
9,(0.7070272752387066+0j),(0.05499930931125559+0j),(0.09636344024642043+0j),(0.19281433996857703+0j),(0.4018761934501582+0j),(0.7183553488549363+0j),(0.209834635039548+0j),(0.010181216357413462+0j),(0.4998875679314697+0j),(0.0030249240247151657+0j),(0.009285912616125441+0j),(0.037177369697518+0j),(0.161504474861989+0j),(0.5160344072284972+0j),(0.0440305740621803+0j),(0.00010365716651646342+0j),16.730467500449457,-4.694808364513842,-0.7070272752387066,0.6949825592407154,(0.04354581918727405-0.03359591725231506j),(0.06271838215595059+0.07315953222831308j),(-0.13206364065103085+0.14048688378462024j),(0.3671164402714+0.16349310121361257j),(-0.33614093162187386-0.6348572133297975j),(0.038705822547227965-0.20623392873899968j),(0.008964957729920762-0.004825629432229271j),0.22678155225089255
